,pbmc_1,pbmc_10
STYXL1,29.5941740001396,34.651228
STYX,18.67407,14.4262
SUB1,64.628101,49.15567
SUCLA2,9.222257,6.262188
SUCLG1,57.3029,45.2726
SUCLG2,51.0579,42.6849
SUCNR1,0.0875264,0.166146
SUDS3,10.9501,9.3394
SUFU,7.9473828,8.57102
SUGT1P3,1.4234313,0.6726589
SUGT1,31.60135,28.14291
SULF1,0.0192443,0.00182643
SULF2,65.975858,116.13835
SULT1A1,112.844181,77.8670550003202
SULT1A2,0.633844,0.0384063
SULT1A3,38.1738599019213,36.353484101
SULT1B1,7.06221,3.1151
SULT1C2,0.0125363,0.0241699
SULT1C3,0.0,0.0
SULT1C4,0.166841,0.4262818
SULT1E1,0.0106089,0.0112886
SULT2A1,0.626215,0.284284
SULT2B1,0.23817,0.17519
SULT4A1,0.0,0.0
SULT6B1,0.0,0.0
SUMF1,29.8987425,28.356807
SUMF2,85.9006900001937,73.496072
SUMO1,95.9791,84.8106
SUMO2,271.103881,257.646
SUMO3,100.409348,98.761423
SUMO4,0.188457,0.276023
SUN1,17.4071496,14.409697
SUN2,389.3588521115,315.3518079
SUN3,0.116946,0.275145
SUN5,0.0,0.0
SUOX,4.617336,3.8078240012069
SUPT16H,40.981904,35.02469
SUPT3H,8.20204,5.701729
SUPT4H1,91.857,96.8787
SUPT5H,60.134226658437,46.864643334
SUPT6H,30.005844,20.696625
SUPT7L,8.14191,6.525546
SUPV3L1,4.698179,3.124406
SURF1,60.749975,62.776345
SURF2,27.1131,32.6218
SURF4,95.3282896,90.30479
SURF6,17.9541,15.8195
SUSD1,22.77299,22.0539
SUSD2,0.136529,0.0808597
SUSD3,48.46978,36.45541
SUSD4,3.451494,3.124915
SUSD5,0.0747603,0.0387336
SUV39H1,5.33665666962,5.149532
SUV39H2,1.625073,1.309574
KMT5B,19.9682927,16.7036600023204
KMT5C,2.887862,3.98686
SUZ12,25.71054,16.1502
SV2A,2.096318,1.49784276
SV2B,0.0748357,0.00889068
SV2C,0.0147998,0.117993
SVEP1,0.0451349,0.035379
SVIL,9.83598038,7.4467658
SVIP,38.9435,34.587
SVOPL,0.224739,0.0331807
SVOP,0.0743626,0.0021654
SWAP70,19.227785,15.317462
SYAP1,25.08658,19.1568900002297
SYBU,0.5747077,0.467143
SYCE1L,4.61935,3.68907
SYCE1,0.2612435,0.951814
SYCE2,0.348596,0.279392
SYCN,0.0,0.0
SYCP1,0.0,0.0
SYCP2L,0.1391133,0.0337895
SYCP2,0.201719,0.420474
SYCP3,0.0,0.02816740091407
SYDE1,0.0854631,0.0237937
SYDE2,1.141744,1.503829
SYF2,94.229793,92.913081
SYK,84.772691414515,87.0136796255
SYMPK,22.583339,21.681799
SYN1,0.372788032685,0.3808770108388
SYN2,0.0376996,0.0882608
SYN3,0.0221558,0.0
SYNCRIP,51.1043172277906,38.0216883732
SYNC,0.0,0.0
SYNE1,29.75548792867,20.9059874519477
SYNE2,23.388697822405,24.0131188
SYNGAP1,13.23900913472,13.295039
SYNGR1,9.167281,14.948195
SYNGR2,184.27576,238.6912
SYNGR3,0.207576,0.31194
SYNGR4,0.0179638,0.136398
SYNJ1,5.11669733612,3.4278819
SYNJ2BP,2.871269,1.72549
SYNJ2,6.708545,5.74606400004184
SYNM,0.336327058,0.4409204
SYNPO2L,0.469102,0.4694181
SYNPO2,0.2178435,0.2532731
SYNPO,3.130015,2.638206
SYNPR,0.0,0.0
SYNRG,27.8346812875,19.8409922
SYPL1,41.8479,36.028904
SYPL2,0.0435499,0.0
SYP,0.5533551,0.8619735
SYS1,20.02655,22.0418251
SYT10,0.0,0.0
SYT11,8.106925,6.343603
SYT12,0.0,0.0
SYT13,0.0446351,0.0354995
SYT14,0.00677003195643,0.01285120130916
SYT15,0.961267,0.984525
SYT16,0.0,0.0
SYT17,1.0596044,2.2753139505009
SYT1,0.448698,0.085451
SYT2,0.104152,0.0914466
SYT3,0.338369,0.00535256
SYT4,0.0,0.0
SYT5,0.0,0.0163885
SYT6,0.0,0.0
SYT7,0.0641752,0.0
SYT8,0.0,0.0
SYT9,0.0,0.0
SYTL1,64.319534,58.804636
SYTL2,12.1633179147621,5.978920648951
SYTL3,24.464515,16.72344423
SYTL4,0.489715,0.7683196
SYTL5,0.0,0.0307079814
SYVN1,23.2084700007895,18.71731368
TAAR1,0.0,0.0
TAAR2,0.0,0.0
TAAR5,0.0,0.0
